name,lat,lon,town
San Vincenzo e Anastasio,45.8854065,11.0095073,Isera
Abbazia di San Lorenzo,46.0711990,11.1190424,Trento
Chiesa curaziale di San Lorenzo,45.9388944,10.6463128,Creto
chiesa di San Marco,46.0700650,11.1257858,Trento
Chiesa di San Zenone,46.0865987,10.3376735,Berzo
Chiesa dell'Annunciazione,46.0914259,10.3527674,Cedegolo
Santi Pietro e Paolo,46.0693073,11.1249178,Trento
Chiesa di San Martino,45.6905814,10.6647633,Gargnano
Chiesa di Sant'Ambrogio,45.8893803,10.1704302,Darfo
Chiesa della Nativita,45.8911024,10.1674089,Angolo Terme
Chiesa di San Rocco,45.8911277,10.1780655,Darfo Boario Terme
San Rocco,45.3206575,10.3702716,Visano
Chiesa parrocchiale di San Tarcisio,45.4497298,11.6388290,Villaganzerla
chiesa di San Francesco Saverio,46.0699186,11.1211624,Trento
Chiesa degli Eremitani,45.4104394,11.8798147,Padova
Chiesa di San Martino,45.8705627,10.7262044,Pieve di Ledro
Chiesa di San Rocco,45.9176266,10.8922365,Arco
chiesa di San Giacomo Maggiore,45.8666398,10.7882081,Molina di Ledro
Chiesa di Sant'Antonio,45.8648061,10.8043561,Molina di Ledro
Chiesa di San Lorenzo,45.8768173,10.5990512,Condino
Chiesa della Dedicazione di San Michele Arcangelo,45.8815652,10.7520430,Pieve di Ledro
Chiesa di San Giovanni Evangelista,45.9226984,10.9026655,Bolognano-Vignole
Chiesa di San Martino,45.9265732,10.8980591,Arco
Antica Pieve di S. Maria,45.7116622,11.3223216,Torrebelvicino
Chiesa di San Rocco,45.8200663,10.9590214,Brentonico
Sant'Antonio,45.8989874,10.9514097,Ronzo-Chienis
Sant'Antonio di Padova,45.9082715,11.1334842,Folgaria
Chiesa di Santo Stefano,45.6409382,11.6088005,Poianella
Chiesa di Santa Giulia,45.5822120,10.2333539,Bovezzo
Chiesa di San Bartolomeo,45.9463193,10.6202091,Daone
Chiesa della Madonna della Neve,45.9766585,10.5478122,Daone
Chiesa della Presentazione di Maria,45.9058093,10.7288489,Pieve di Ledro
Chiesa di San Pietro,45.9490234,10.6371483,Praso
Chiesetta di San Giovanni Nepomuceno,45.8395811,10.7757641,Limone sul Garda
Chiesa di Sant'Antonio,45.8528517,10.7971832,Molina di Ledro
Chiesa di Santa Maria Assunta,45.2688069,11.7193280,Arqua Petrarca
Oratorio Santissima Trinita,45.2698559,11.7167416,Arqua Petrarca
Chiesa di San Giorgio,45.2662162,11.6868907,Baone
Chiesa di San Biagio,45.2742758,11.6908490,Arqua Petrarca
Ex chiesetta del Carmine,45.2448782,11.7480844,Monselice
Chiesa di Santa Lucia,45.2826606,11.6705008,Fontanafredda
Chiesa della Presentazione di Maria,45.8386532,10.9706980,Mori
Chiesa di San Silvestro,45.9122234,10.7266236,Pieve di Ledro
Chiesa di San Martino,45.9008388,10.7268874,Pieve di Ledro
Chiesa di Santo Stefano,45.8967469,10.7185312,Pieve di Ledro
Chiesa di San Bartolomeo,45.8936283,10.6854734,Pieve di Ledro
Chiesa del Pigozzo,45.2946876,11.7887930,Battaglia Terme
